AZ_SCRIPT,ALT_SCRIPT,ALT,AZ,HA,RA,DEC,LST,ETIQUETA,TIME,
175,45,0.7847902402,3.053948278,-0.158090693,1.741313552,-1.172511505,6:02:51,958,4/26/2016 15:44:24,224
175,65,1.133281416,3.037228048,-0.05589305009,1.644124427,-0.8275416017,6:04:00,962,4/26/2016 15:45:33,232
175,85,1.480757916,2.887234215,-0.007314130442,1.603462922,-0.4802657288,6:05:49,909,4/26/2016 15:47:21,126
185,25,0.4382330182,3.231160204,1.066221044,0.5343878246,-1.478726195,6:06:50,944,4/26/2016 15:48:22,196
185,45,0.7857918866,3.228915906,0.161055702,1.443365704,-1.172049587,6:07:42,937,4/26/2016 15:49:15,182
185,65,1.135101139,3.216158045,0.05305814171,1.554253494,-0.8274148899,6:08:22,931,4/26/2016 15:49:54,170
185,85,1.483617661,3.086220203,0.006234759643,1.605259561,-0.4802802361,6:09:20,911,4/26/2016 15:50:52,130
195,25,0.4401976723,3.406240198,1.341024421,0.2740993316,-1.325971435,6:10:10,952,4/26/2016 15:51:41,212
195,45,0.7902171948,3.396015952,0.4382310008,1.180795857,-1.123438903,6:11:03,942,4/26/2016 15:52:35,192
195,65,1.139836814,3.368492047,0.1579235572,1.463965019,-0.8099731317,6:11:43,934,4/26/2016 15:53:14,176
195,85,1.484695074,3.343375535,0.02307210501,1.602290143,-0.4775304931,6:12:30,915,4/26/2016 15:54:02,138
205,25,0.4398645202,3.581247408,1.375195098,0.2546760118,-1.16818047,6:13:32,960,4/26/2016 15:55:04,228
205,45,0.7895171906,3.575462863,0.6316905882,1.152221806,-1.040362018,6:48:51,949,4/26/2016 16:30:16,206
205,65,1.140329789,3.55628171,0.251791789,1.537580358,-0.7768979541,6:50:06,939,4/26/2016 16:31:31,186
205,85,1.489966281,3.32833705,0.03899504987,1.757982118,-0.4723727737,6:51:50,911,4/26/2016 16:33:15,130
215,25,0.4404138589,3.755887741,1.369251071,0.4349747515,-1.0101413,6:53:30,963,4/26/2016 16:34:55,234
215,45,0.7968954438,3.74658696,0.7540831877,1.063370607,-0.9365608777,6:56:32,956,4/26/2016 16:37:56,220
215,65,1.147887887,3.745805086,-5.949745781,6.113655014,-0.7242911176,0:37:34,942,4/28/2016 10:12:08,192
215,85,1.500381702,3.587083465,0.05786437069,0.1131247784,-0.4582081651,0:39:11,919,4/28/2016 10:13:46,146
225,25,0.4409360023,3.933868757,-4.932613102,5.10955116,-0.8488815656,0:40:33,970,4/28/2016 10:15:07,248
225,45,0.7974935467,3.932260459,-5.456250162,5.64089883,-0.8167331838,0:42:19,963,4/28/2016 10:16:53,234
225,65,1.153582385,3.917825541,-5.889169006,6.082405235,-0.6670269192,0:44:17,949,4/28/2016 10:18:51,206
225,85,1.493025318,3.945178525,0.07061575423,0.1286366157,-0.4481485241,0:45:40,916,4/28/2016 10:20:13,140
235,25,0.4455311913,4.109712915,-4.962398057,5.167108211,-0.6920932789,0:46:55,976,4/28/2016 10:21:28,260
235,45,0.8003740111,4.108556997,-5.420829338,5.630463493,-0.6961018318,0:48:03,970,4/28/2016 10:22:36,248
235,65,1.154824072,4.100229524,-5.845976332,6.061114941,-0.6020116457,0:49:18,959,4/28/2016 10:23:51,226
235,85,1.491234968,4.151131642,0.08113154107,0.1383043123,-0.4362234202,0:50:17,917,4/28/2016 10:24:50,142
